Study	id	c_num	i_num	c_mean	c_sd	c_sem	i_mean	i_sd	i_sem
Wang(2018)	Wang(2018)_MOX	11	11	0.002856			0.002145		
Wang(2018)	Wang(2018)_EA	11	10	0.002856			0.001578		
Wang(2019)	Wang(2019)_EA	7	7	0.011952191			0.007968127		
Jang(2020)	Jang(2020)_MA	10	9	0.0066	0.0065		0.6217	0.7165	
Liu(2020)	Liu(2020)_EA	6	6	13.28571429	1.316326531		3.948979592	1.897959184	
Wang(2020)	Wang(2020)_EA1	12	12	0.01133501259	0.06544272573	0.01889168766	0.6881067961	0.5801529404	0.1674757282
Wang(2020)	Wang(2020)_EA2	12	12	0.01133501259	0.06544272573	0.01889168766	0.6844660194	0.8323933493	0.2402912621
Xie(2020)	Xie(2020)_EA1	6	6	0	0		0.006756756757	0.02027027027	
Xie(2020)	Xie(2020)_EA2	6	6	0	0		0.02027027027	0.02702702703	
Xie(2020)	Xie(2020)_EA3	6	6	0	0		0.2094594595	0.1148648649	
Xu(2020)	Xu(2020)_MA	10	10	0.005994623656	0.002204301075		0.003924731183	0.001048387097	
Han(2021)	Han(2021)_MA	8	8	2.776203966			1.983002833		
Han(2021)	Han(2021)_EA	8	8	2.776203966			2.280453258		
Wang(2021)	Wang(2021)_EA	29	29	1.54			2.5		
